Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cuidados PLA (product.metafields.custom.cuidados_pla),Material PLA (product.metafields.custom.material),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
cuchillo-compostables-fecula-de-maiz,,,,,,,,,200 pzs.,,,Blanco,,,Jumbo,,044FMAIZP,300.0,shopify,deny,manual,297.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/81.jpg?v=1677028186,2,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,134.56,,,,
cuchillo-compostables-fecula-de-maiz,,,,,,,,,100 pzs.,,,Negro,,,Regular,,041FMAIZP,300.0,shopify,deny,manual,114.84,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,68.56,,,,
cuchillo-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Regular,,038FMAIZ,4000.0,shopify,deny,manual,562.60,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,417.60,,,,
cuchillo-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Jumbo,,044FMAIZ,300.0,shopify,deny,manual,897.07,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,672.80,,,,
cuchillo-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Negro,,,Regular,,041FMAIZ,300.0,shopify,deny,manual,892.04,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,685.56,,,,
tenedor-compostables-fecula-de-maiz,Tenedor compostables - Fécula de Maíz,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">TENEDOR COMPOSTABLES FABRICADA CON FÉCULA DE MAÍZ</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Los cubiertos de XICOPACK Son 100% biodegradables y compostables. </span></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">MATERIAL</b></p>
<p data-mce-fragment=""1"">Fécula de Maíz<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Algunos de estos materiales se consideran residuos después del procesamiento de cultivos y, a menudo, se queman. Estas fibras son un recurso valioso</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">para fabricar productos como platos, recipientes para llevar, tazones,</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">y otros compostables.</span></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CARACTERISTICAS Y BENEFICIOS</b></p>
<ul data-mce-fragment=""1"">
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Su degradación se da entre los 90 a 240 días en composta industrial</span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Todos nuestros productos cuentan con certificaciones nacionales e internacionales</span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Resiste -20<span data-mce-fragment=""1"">° C a 120° C</span></span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Dígales a sus clientes que se preocupa por el medio ambiente. </span></li>
</ul>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">DIMENSIONES TENEDOR</b></p>
<table data-mce-fragment=""1"" style=""width: 253.523px;"" data-mce-style=""width: 253.523px;"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Tamaño</span></p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>Largo (cm)</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p>Regular</p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>15</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p>Jumbo</p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>17.5</p>
</td>
</tr>
</tbody>
</table>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CUIDADOS</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Rango de Temperatura: 40°F / 4° C a 105°F / 40°C</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Mantener lejos de cualquier fuente de calor</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Almacenar en lugares secos y lejos de los rayos del sol.</span></p>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">DIMENSIONES CAJA </b></p>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" mce-data-marked=""1"" data-mce-style=""font-weight: 400;"">Tamaño</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Peso (kg)</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Dimensiones (cm)</span></p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p>Regular - Jumbo</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">4</span></p>
</td>
<td data-mce-fragment=""1"">
<p>40 x 20 x 18</p>
</td>
</tr>
</tbody>
</table>",xicopack,Business & Industrial > Food Service > Disposable Tableware > Disposable Cutlery,Tenedor compostable,"accesorios, cubiertos, Fécula de Maíz",true,Cantidad,200 pzs.,,Color,Blanco,,Tamaño,Regular,,037FMAIZP,300.0,shopify,deny,manual,172.84,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/82.jpg?v=1677028925,1,,false,Tenedor compostables | Mayoreo México - Xicopack,Compre Tenedor compostables hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡M...,,,,,,,,,,,,,,,,,,g,,83.52,true,,,active
tenedor-compostables-fecula-de-maiz,,,,,,,,,200 pzs.,,,Blanco,,,Jumbo,,043FMAIZP,300.0,shopify,deny,manual,297.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/83.jpg?v=1677028925,2,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,134.56,,,,
tenedor-compostables-fecula-de-maiz,,,,,,,,,100 pzs.,,,Negro,,,Regular,,040FMAIZP,300.0,shopify,deny,manual,114.84,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,68.56,,,,
tenedor-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Regular,,037FMAIZ,4000.0,shopify,deny,manual,562.60,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,417.60,,,,
tenedor-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Jumbo,,043FMAIZ,300.0,shopify,deny,manual,897.07,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,672.80,,,,
tenedor-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Negro,,,Regular,,040FMAIZ,300.0,shopify,deny,manual,892.04,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,685.56,,,,
cuchara-compostables-fecula-de-maiz,Cuchara compostables - Fécula de Maíz,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CUCHARA COMPOSTABLES FABRICADA CON FÉCULA DE MAÍZ</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Los cubiertos de XICOPACK Son 100% biodegradables y compostables. </span></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">MATERIAL</b></p>
<p data-mce-fragment=""1"">Fécula de Maíz<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Algunos de estos materiales se consideran residuos después del procesamiento de cultivos y, a menudo, se queman. Estas fibras son un recurso valioso</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">para fabricar productos como platos, recipientes para llevar, tazones,</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">y otros compostables.</span></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CARACTERISTICAS Y BENEFICIOS</b></p>
<ul data-mce-fragment=""1"">
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Su degradación se da entre los 90 a 240 días en composta industrial</span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Todos nuestros productos cuentan con certificaciones nacionales e internacionales</span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Resiste -20<span data-mce-fragment=""1"">° C a 120° C</span></span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Dígales a sus clientes que se preocupa por el medio ambiente. </span></li>
</ul>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">DIMENSIONES CUCHARA</b></p>
<table data-mce-fragment=""1"" style=""width: 253.523px;"" data-mce-style=""width: 253.523px;"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Tamaño</span></p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>Largo (cm)</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p>Regular</p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>15</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p>Pastelera</p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>12.5</p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" style=""width: 149px;"" data-mce-style=""width: 149px;"">
<p>Jumbo</p>
</td>
<td data-mce-fragment=""1"" style=""width: 242.523px;"" data-mce-style=""width: 242.523px;"">
<p>17.5</p>
</td>
</tr>
</tbody>
</table>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CUIDADOS</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Rango de Temperatura: 40°F / 4° C a 105°F / 40°C</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Mantener lejos de cualquier fuente de calor</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Almacenar en lugares secos y lejos de los rayos del sol.</span></p>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">DIMENSIONES CAJA </b></p>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" mce-data-marked=""1"" data-mce-style=""font-weight: 400;"">Tamaño</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Peso (kg)</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Dimensiones (cm)</span></p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p>Regular - Jumbo</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">4</span></p>
</td>
<td data-mce-fragment=""1"">
<p>40 x 20 x 18</p>
</td>
</tr>
</tbody>
</table>",xicopack,Business & Industrial > Food Service > Disposable Tableware > Disposable Cutlery,Cuchara compostable,"accesorios, cubiertos, Fécula de Maíz",true,Cantidad,200 pzs.,,Color,Blanco,,Tamaño,Regular,,036FMAIZP,300.0,shopify,deny,manual,172.84,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/78.jpg?v=1677028139,1,,false,Cuchara compostables | Mayoreo México - Xicopack,Compre Cuchara compostables hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡M...,,,,,,,,,,,,,,,,,,g,,83.52,true,,,active
cuchara-compostables-fecula-de-maiz,,,,,,,,,200 pzs.,,,Blanco,,,Pastelera,,035FMAIZP,300.0,shopify,deny,manual,174.48,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/79.jpg?v=1677028138,2,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,68.44,,,,
cuchara-compostables-fecula-de-maiz,,,,,,,,,200 pzs.,,,Blanco,,,Jumbo,,042FMAIZP,300.0,shopify,deny,manual,297.00,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,134.56,,,,
cuchara-compostables-fecula-de-maiz,,,,,,,,,100 pzs.,,,Negro,,,Regular,,039FMAIZP,300.0,shopify,deny,manual,114.84,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,68.56,,,,
cuchara-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Regular,,036FMAIZ,4000.0,shopify,deny,manual,562.60,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,417.60,,,,
cuchara-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Pastelera,,035FMAIZ,300.0,shopify,deny,manual,456.27,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,342.20,,,,
cuchara-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Blanco,,,Jumbo,,042FMAIZ,300.0,shopify,deny,manual,897.07,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,672.80,,,,
cuchara-compostables-fecula-de-maiz,,,,,,,,,1000 pzs.,,,Negro,,,Regular,,039FMAIZ,300.0,shopify,deny,manual,892.04,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,685.56,,,,
bandeja-rectangular-compostable-fecula-de-maiz,Bandeja rectangular compostable - Fécula de Maíz,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">BANDEJA COMPOSTABLES FABRICADA CON FÉCULA DE MAÍZ</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Las bandejas de XICOPACK Son 100% biodegradables y compostables. </span></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">MATERIAL</b></p>
<p data-mce-fragment=""1"">Fécula de Maíz<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><meta charset=""utf-8""><span data-mce-fragment=""1"">Algunos de estos materiales se consideran residuos después del procesamiento de cultivos y, a menudo, se queman. Estas fibras son un recurso valioso</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">para fabricar productos como platos, recipientes para llevar, tazones,</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">y otros compostables.</span></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CARACTERISTICAS Y BENEFICIOS</b></p>
<ul data-mce-fragment=""1"">
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Su degradación se da entre los 90 a 240 días en composta industrial</span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Todos nuestros productos cuentan con certificaciones nacionales e internacionales</span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Resiste -20<span data-mce-fragment=""1"">° C a 120° C</span></span></li>
<li style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Dígales a sus clientes que se preocupa por el medio ambiente. </span></li>
</ul>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">DIMENSIONES BANDEJA</b></p>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Capacidad</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Ancho (cm)</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Largo (cm)</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Alto (cm)<br data-mce-fragment=""1""></p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">23 x 18</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">18</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">23</span></p>
</td>
<td data-mce-fragment=""1"">
<p>3<br></p>
</td>
</tr>
</tbody>
</table>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">CUIDADOS</b></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Rango de Temperatura: 40°F / 4° C a 105°F / 40°C</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Mantener lejos de cualquier fuente de calor</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Almacenar en lugares secos y lejos de los rayos del sol.</span></p>
<br data-mce-fragment=""1"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">DIMENSIONES CAJA </b></p>
<table data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Capacidad</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Peso (kg)</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Dimensiones (cm)</span></p>
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1"">23 x 18</p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">4</span></p>
</td>
<td data-mce-fragment=""1"">
<p data-mce-fragment=""1""> 60 x 29 x 29</p>
</td>
</tr>
</tbody>
</table>",xicopack,Business & Industrial > Food Service > Disposable Tableware,Contenedor compostable,"Comida p/llevar, Fécula de Maíz, Platos",true,Cantidad,50,,,,,,,,034FMAIZP,300.0,shopify,deny,manual,149.64,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/Untitleddesign_2.jpg?v=1674582586,1,,false,Bandeja rectangular compostable | Mayoreo México - Xicopack,Compre Bandeja rectangular compostable hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo...,,,,,,,,,,,,,,,,,,g,,88.74,true,,,active
bandeja-rectangular-compostable-fecula-de-maiz,,,,,,,,,500,,,,,,,,034FMAIZ,4000.0,shopify,deny,manual,1152.47,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,887.40,,,,
